"Timestamp","ProcessName","Pid","WorkingSetMiB","PrivateMemoryMiB","MainWindowTitle"
"2026-06-02T14:17:54","POWERPNT","22240","318.64","565","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:17:54","rustrover64","39232","3089.25","3498.22","Tessellum ? performance.rs"
"2026-06-02T14:17:54","tessellum","16152","38.34","7.96","tessellum"
"2026-06-02T14:17:54","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:17:54","ai","9996","3.83","34.63",""
"2026-06-02T14:17:54","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:17:54","cef_server","36820","34.06","31.5",""
"2026-06-02T14:17:54","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:17:54","powershell","19624","10.51","67.25",""
"2026-06-02T14:17:54","copilot-language-server","38036","64.68","981.92",""
"2026-06-02T14:17:54","node","39016","20.1","117.35",""
"2026-06-02T14:17:54","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:17:54","msedgewebview2","24488","138.79","45.04",""
"2026-06-02T14:17:54","conhost","36560","1.84","1.16",""
"2026-06-02T14:17:54","conhost","38892","2.18","1.25",""
"2026-06-02T14:17:54","cef_server","36556","24.69","144.46",""
"2026-06-02T14:17:54","cef_server","31876","17.25","10.03",""
"2026-06-02T14:17:54","cef_server","39696","6.4","7.78",""
"2026-06-02T14:17:54","cef_server","28628","28.48","28.96",""
"2026-06-02T14:17:54","conhost","17552","1.79","1.18",""
"2026-06-02T14:17:54","conhost","7732","1.81","1.19",""
"2026-06-02T14:17:54","node","6444","3.21","26.17",""
"2026-06-02T14:17:54","conhost","3640","1.91","1.17",""
"2026-06-02T14:17:54","msedgewebview2","34012","13.32","3.08",""
"2026-06-02T14:17:54","msedgewebview2","42028","88.87","187.41",""
"2026-06-02T14:17:55","msedgewebview2","42084","41.96","13.79",""
"2026-06-02T14:17:55","msedgewebview2","23724","22.19","9.55",""
"2026-06-02T14:17:55","msedgewebview2","31220","122.62","71.97",""
"2026-06-02T14:18:03","POWERPNT","22240","318.72","569.02","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:03","rustrover64","39232","3089.3","3498.22","Tessellum ? performance.rs"
"2026-06-02T14:18:03","tessellum","16152","38.34","7.96","tessellum"
"2026-06-02T14:18:03","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:03","ai","9996","3.83","34.63",""
"2026-06-02T14:18:03","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:03","cef_server","36820","34.06","31.5",""
"2026-06-02T14:18:03","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:03","powershell","19624","10.52","67.25",""
"2026-06-02T14:18:03","copilot-language-server","38036","64.68","981.92",""
"2026-06-02T14:18:03","node","39016","20.1","117.35",""
"2026-06-02T14:18:03","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:03","msedgewebview2","24488","138.77","45",""
"2026-06-02T14:18:03","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:03","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:03","cef_server","36556","24.69","144.46",""
"2026-06-02T14:18:03","cef_server","31876","17.25","10.03",""
"2026-06-02T14:18:03","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:03","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:03","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:04","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:04","node","6444","3.21","26.17",""
"2026-06-02T14:18:04","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:04","msedgewebview2","34012","13.32","3.08",""
"2026-06-02T14:18:04","msedgewebview2","42028","88.88","187.41",""
"2026-06-02T14:18:04","msedgewebview2","42084","41.96","13.79",""
"2026-06-02T14:18:04","msedgewebview2","23724","22.19","9.55",""
"2026-06-02T14:18:04","msedgewebview2","31220","123.19","72.48",""
"2026-06-02T14:18:12","POWERPNT","22240","318.75","569.05","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:12","rustrover64","39232","3088.81","3497.38","Tessellum ? performance.rs"
"2026-06-02T14:18:12","tessellum","16152","38.34","7.96","tessellum"
"2026-06-02T14:18:12","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:12","ai","9996","3.83","34.63",""
"2026-06-02T14:18:12","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:12","cef_server","36820","34.06","31.5",""
"2026-06-02T14:18:12","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:12","powershell","19624","10.53","67.25",""
"2026-06-02T14:18:12","copilot-language-server","38036","64.68","981.92",""
"2026-06-02T14:18:12","node","39016","20.1","117.35",""
"2026-06-02T14:18:12","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:12","msedgewebview2","24488","138.77","45",""
"2026-06-02T14:18:12","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:12","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:12","cef_server","36556","24.69","144.46",""
"2026-06-02T14:18:12","cef_server","31876","17.66","12.1",""
"2026-06-02T14:18:12","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:12","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:12","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:12","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:12","node","6444","3.21","26.17",""
"2026-06-02T14:18:12","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:12","msedgewebview2","34012","13.32","3.08",""
"2026-06-02T14:18:12","msedgewebview2","42028","88.88","187.41",""
"2026-06-02T14:18:12","msedgewebview2","42084","41.96","13.79",""
"2026-06-02T14:18:12","msedgewebview2","23724","22.19","9.55",""
"2026-06-02T14:18:12","msedgewebview2","31220","121.39","70.32",""
"2026-06-02T14:18:21","POWERPNT","22240","318.66","566","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:21","rustrover64","39232","3088.89","3497.45","Tessellum ? performance.rs"
"2026-06-02T14:18:21","tessellum","16152","38.34","7.96","tessellum"
"2026-06-02T14:18:21","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:21","ai","9996","3.83","34.63",""
"2026-06-02T14:18:21","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:21","cef_server","36820","34.05","31.48",""
"2026-06-02T14:18:21","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:21","powershell","19624","10.53","67.25",""
"2026-06-02T14:18:21","copilot-language-server","38036","64.68","981.92",""
"2026-06-02T14:18:21","node","39016","20.1","117.35",""
"2026-06-02T14:18:21","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:21","msedgewebview2","24488","138.74","44.94",""
"2026-06-02T14:18:21","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:21","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:21","cef_server","36556","24.69","144.46",""
"2026-06-02T14:18:21","cef_server","31876","17.71","12.11",""
"2026-06-02T14:18:21","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:21","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:21","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:21","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:21","node","6444","3.21","26.17",""
"2026-06-02T14:18:21","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:21","msedgewebview2","34012","13.32","3.08",""
"2026-06-02T14:18:21","msedgewebview2","42028","88.89","187.41",""
"2026-06-02T14:18:21","msedgewebview2","42084","41.96","13.79",""
"2026-06-02T14:18:21","msedgewebview2","23724","22.19","9.55",""
"2026-06-02T14:18:21","msedgewebview2","31220","121.82","70.94",""
"2026-06-02T14:18:30","POWERPNT","22240","318.71","567.01","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:30","rustrover64","39232","3088.91","3497.45","Tessellum ? performance.rs"
"2026-06-02T14:18:30","tessellum","16152","38.34","7.96","tessellum"
"2026-06-02T14:18:30","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:30","ai","9996","3.83","34.63",""
"2026-06-02T14:18:30","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:30","cef_server","36820","34.07","31.5",""
"2026-06-02T14:18:30","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:30","powershell","19624","10.54","67.25",""
"2026-06-02T14:18:30","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:18:30","node","39016","20.1","117.35",""
"2026-06-02T14:18:30","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:30","msedgewebview2","24488","138.69","44.88",""
"2026-06-02T14:18:30","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:30","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:30","cef_server","36556","24.69","144.46",""
"2026-06-02T14:18:30","cef_server","31876","17.72","12.11",""
"2026-06-02T14:18:30","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:30","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:30","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:30","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:30","node","6444","3.21","26.17",""
"2026-06-02T14:18:30","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:30","msedgewebview2","34012","13.32","3.08",""
"2026-06-02T14:18:30","msedgewebview2","42028","88.89","187.41",""
"2026-06-02T14:18:30","msedgewebview2","42084","41.96","13.79",""
"2026-06-02T14:18:30","msedgewebview2","23724","22.19","9.55",""
"2026-06-02T14:18:30","msedgewebview2","31220","122.04","71.15",""
"2026-06-02T14:18:39","POWERPNT","22240","318.68","566.97","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:39","rustrover64","39232","3088.94","3497.51","Tessellum ? performance.rs"
"2026-06-02T14:18:39","tessellum","16152","38.34","7.93","tessellum"
"2026-06-02T14:18:39","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:39","ai","9996","3.83","34.63",""
"2026-06-02T14:18:39","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:39","cef_server","36820","34.07","31.5",""
"2026-06-02T14:18:39","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:39","powershell","19624","10.55","67.25",""
"2026-06-02T14:18:39","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:18:39","node","39016","20.1","117.35",""
"2026-06-02T14:18:39","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:39","msedgewebview2","24488","139.09","44.92",""
"2026-06-02T14:18:39","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:39","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:39","cef_server","36556","24.69","144.46",""
"2026-06-02T14:18:39","cef_server","31876","17.76","12.11",""
"2026-06-02T14:18:39","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:39","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:39","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:39","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:39","node","6444","3.21","26.17",""
"2026-06-02T14:18:39","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:39","msedgewebview2","34012","13.31","3.07",""
"2026-06-02T14:18:39","msedgewebview2","42028","89.13","187.42",""
"2026-06-02T14:18:39","msedgewebview2","42084","41.96","13.74",""
"2026-06-02T14:18:39","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:18:39","msedgewebview2","31220","121.75","70.91",""
"2026-06-02T14:18:48","POWERPNT","22240","318.65","565.93","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:48","rustrover64","39232","3088.99","3497.51","Tessellum ? performance.rs"
"2026-06-02T14:18:48","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:18:48","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:48","ai","9996","3.83","34.63",""
"2026-06-02T14:18:48","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:48","cef_server","36820","34.08","31.5",""
"2026-06-02T14:18:48","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:48","powershell","19624","10.55","67.25",""
"2026-06-02T14:18:48","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:18:48","node","39016","20.1","117.35",""
"2026-06-02T14:18:48","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:48","msedgewebview2","24488","139","44.78",""
"2026-06-02T14:18:48","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:48","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:48","cef_server","36556","24.7","144.46",""
"2026-06-02T14:18:48","cef_server","31876","17.89","12.1",""
"2026-06-02T14:18:48","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:48","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:48","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:48","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:48","node","6444","3.21","26.17",""
"2026-06-02T14:18:48","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:48","msedgewebview2","34012","13.25","2.96",""
"2026-06-02T14:18:48","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:18:48","msedgewebview2","42084","41.95","13.7",""
"2026-06-02T14:18:48","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:18:48","msedgewebview2","31220","121.7","70.88",""
"2026-06-02T14:18:57","POWERPNT","22240","318.66","565.93","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:18:57","rustrover64","39232","3089.06","3497.51","Tessellum ? performance.rs"
"2026-06-02T14:18:57","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:18:57","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:18:57","ai","9996","3.83","34.63",""
"2026-06-02T14:18:57","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:18:57","cef_server","36820","34.08","31.5",""
"2026-06-02T14:18:57","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:18:57","powershell","19624","10.56","67.28",""
"2026-06-02T14:18:57","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:18:57","node","39016","20.1","117.35",""
"2026-06-02T14:18:57","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:18:57","msedgewebview2","24488","139.01","44.78",""
"2026-06-02T14:18:57","conhost","36560","1.84","1.16",""
"2026-06-02T14:18:57","conhost","38892","2.18","1.25",""
"2026-06-02T14:18:57","cef_server","36556","24.7","144.46",""
"2026-06-02T14:18:57","cef_server","31876","17.89","12.1",""
"2026-06-02T14:18:57","cef_server","39696","6.4","7.78",""
"2026-06-02T14:18:57","cef_server","28628","28.48","28.96",""
"2026-06-02T14:18:57","conhost","17552","1.79","1.18",""
"2026-06-02T14:18:57","conhost","7732","1.81","1.19",""
"2026-06-02T14:18:57","node","6444","3.21","26.17",""
"2026-06-02T14:18:57","conhost","3640","1.91","1.17",""
"2026-06-02T14:18:57","msedgewebview2","34012","13.25","2.96",""
"2026-06-02T14:18:57","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:18:57","msedgewebview2","42084","41.95","13.7",""
"2026-06-02T14:18:57","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:18:57","msedgewebview2","31220","121.7","70.88",""
"2026-06-02T14:19:05","POWERPNT","22240","318.8","568.98","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:05","rustrover64","39232","3089.02","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:05","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:05","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:05","ai","9996","3.83","34.63",""
"2026-06-02T14:19:05","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:05","cef_server","36820","34.09","31.5",""
"2026-06-02T14:19:05","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:05","powershell","19624","10.55","67.25",""
"2026-06-02T14:19:05","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:19:05","node","39016","20.1","117.35",""
"2026-06-02T14:19:05","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:05","msedgewebview2","24488","139.01","44.78",""
"2026-06-02T14:19:05","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:05","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:05","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:05","cef_server","31876","17.89","12.1",""
"2026-06-02T14:19:05","cef_server","39696","6.4","7.78",""
"2026-06-02T14:19:06","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:06","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:06","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:06","node","6444","3.21","26.17",""
"2026-06-02T14:19:06","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:06","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:06","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:19:06","msedgewebview2","42084","41.95","13.7",""
"2026-06-02T14:19:06","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:06","msedgewebview2","31220","121.76","70.88",""
"2026-06-02T14:19:14","POWERPNT","22240","319.18","568.95","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:14","rustrover64","39232","3089.04","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:14","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:14","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:14","ai","9996","3.83","34.63",""
"2026-06-02T14:19:14","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:14","cef_server","36820","34.09","31.5",""
"2026-06-02T14:19:14","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:14","powershell","19624","10.55","67.25",""
"2026-06-02T14:19:14","copilot-language-server","38036","64.67","981.89",""
"2026-06-02T14:19:14","node","39016","20.1","117.35",""
"2026-06-02T14:19:14","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:14","msedgewebview2","24488","139.01","44.78",""
"2026-06-02T14:19:14","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:14","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:14","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:14","cef_server","31876","17.89","12.1",""
"2026-06-02T14:19:14","cef_server","39696","6.4","7.78",""
"2026-06-02T14:19:14","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:14","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:14","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:14","node","6444","3.21","26.17",""
"2026-06-02T14:19:14","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:14","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:14","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:19:14","msedgewebview2","42084","41.95","13.7",""
"2026-06-02T14:19:14","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:14","msedgewebview2","31220","121.76","70.88",""
"2026-06-02T14:19:23","POWERPNT","22240","319.13","565.93","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:23","rustrover64","39232","3089.05","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:23","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:23","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:23","ai","9996","3.83","34.63",""
"2026-06-02T14:19:23","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:23","cef_server","36820","34.09","31.5",""
"2026-06-02T14:19:23","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:23","powershell","19624","10.55","67.25",""
"2026-06-02T14:19:23","copilot-language-server","38036","64.67","981.89",""
"2026-06-02T14:19:23","node","39016","20.1","117.35",""
"2026-06-02T14:19:23","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:23","msedgewebview2","24488","139.01","44.78",""
"2026-06-02T14:19:23","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:23","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:23","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:23","cef_server","31876","17.89","12.1",""
"2026-06-02T14:19:23","cef_server","39696","6.4","7.78",""
"2026-06-02T14:19:23","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:23","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:23","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:23","node","6444","3.21","26.17",""
"2026-06-02T14:19:23","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:23","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:23","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:19:23","msedgewebview2","42084","41.95","13.7",""
"2026-06-02T14:19:23","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:23","msedgewebview2","31220","121.76","70.88",""
"2026-06-02T14:19:32","POWERPNT","22240","319.16","567.94","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:32","rustrover64","39232","3089.05","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:32","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:32","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:32","ai","9996","3.83","34.63",""
"2026-06-02T14:19:32","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:32","cef_server","36820","34.21","31.59",""
"2026-06-02T14:19:32","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:32","powershell","19624","10.56","67.25",""
"2026-06-02T14:19:32","copilot-language-server","38036","64.67","981.89",""
"2026-06-02T14:19:32","node","39016","20.1","117.35",""
"2026-06-02T14:19:32","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:32","msedgewebview2","24488","139.03","44.78",""
"2026-06-02T14:19:32","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:32","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:32","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:32","cef_server","31876","17.89","12.1",""
"2026-06-02T14:19:32","cef_server","39696","6.43","7.8",""
"2026-06-02T14:19:32","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:32","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:32","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:32","node","6444","3.21","26.17",""
"2026-06-02T14:19:32","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:32","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:32","msedgewebview2","42028","89.1","187.36",""
"2026-06-02T14:19:32","msedgewebview2","42084","41.93","13.66",""
"2026-06-02T14:19:32","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:32","msedgewebview2","31220","121.75","70.85",""
"2026-06-02T14:19:41","POWERPNT","22240","319.21","567.94","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:41","rustrover64","39232","3089.07","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:41","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:41","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:41","ai","9996","3.83","34.63",""
"2026-06-02T14:19:41","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:41","cef_server","36820","34.29","33.66",""
"2026-06-02T14:19:41","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:41","powershell","19624","10.59","67.28",""
"2026-06-02T14:19:41","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:19:41","node","39016","20.1","117.35",""
"2026-06-02T14:19:41","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:41","msedgewebview2","24488","139.02","44.78",""
"2026-06-02T14:19:41","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:41","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:41","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:41","cef_server","31876","17.86","10.05",""
"2026-06-02T14:19:41","cef_server","39696","6.43","7.8",""
"2026-06-02T14:19:41","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:41","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:41","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:41","node","6444","3.21","26.17",""
"2026-06-02T14:19:41","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:41","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:41","msedgewebview2","42028","89.09","187.36",""
"2026-06-02T14:19:41","msedgewebview2","42084","41.96","13.7",""
"2026-06-02T14:19:41","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:41","msedgewebview2","31220","121.76","70.59",""
"2026-06-02T14:19:50","POWERPNT","22240","319.19","565.94","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:50","rustrover64","39232","3089.11","3497.44","Tessellum ? performance.rs"
"2026-06-02T14:19:50","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:50","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:50","ai","9996","3.83","34.63",""
"2026-06-02T14:19:50","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:50","cef_server","36820","34.3","33.66",""
"2026-06-02T14:19:50","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:50","powershell","19624","10.6","67.25",""
"2026-06-02T14:19:50","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:19:50","node","39016","20.1","117.35",""
"2026-06-02T14:19:50","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:50","msedgewebview2","24488","139.02","44.76",""
"2026-06-02T14:19:50","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:50","conhost","38892","2.18","1.25",""
"2026-06-02T14:19:50","cef_server","36556","24.7","144.46",""
"2026-06-02T14:19:50","cef_server","31876","17.84","10.03",""
"2026-06-02T14:19:50","cef_server","39696","6.43","7.8",""
"2026-06-02T14:19:50","cef_server","28628","28.48","28.96",""
"2026-06-02T14:19:50","conhost","17552","1.79","1.18",""
"2026-06-02T14:19:50","conhost","7732","1.81","1.19",""
"2026-06-02T14:19:50","node","6444","3.21","26.17",""
"2026-06-02T14:19:50","conhost","3640","1.91","1.17",""
"2026-06-02T14:19:50","msedgewebview2","34012","13.23","2.9",""
"2026-06-02T14:19:50","msedgewebview2","42028","89.09","187.36",""
"2026-06-02T14:19:50","msedgewebview2","42084","41.96","13.7",""
"2026-06-02T14:19:50","msedgewebview2","23724","22.21","9.55",""
"2026-06-02T14:19:50","msedgewebview2","31220","121.76","70.59",""
"2026-06-02T14:19:59","POWERPNT","22240","319.21","565.94","Tessellum_TFG_Defense_v2 - PowerPoint"
"2026-06-02T14:19:59","rustrover64","39232","3089.16","3497.45","Tessellum ? performance.rs"
"2026-06-02T14:19:59","tessellum","16152","38.31","7.88","tessellum"
"2026-06-02T14:19:59","Ines.UserService","34520","7.7","73.93",""
"2026-06-02T14:19:59","ai","9996","3.83","34.63",""
"2026-06-02T14:19:59","fsnotifier","36868","1.11","0.58",""
"2026-06-02T14:19:59","cef_server","36820","34.3","33.66",""
"2026-06-02T14:19:59","OpenConsole","35424","2.79","2.36",""
"2026-06-02T14:19:59","powershell","19624","10.61","67.32",""
"2026-06-02T14:19:59","copilot-language-server","38036","64.66","981.89",""
"2026-06-02T14:19:59","node","39016","20.1","117.35",""
"2026-06-02T14:19:59","embeddings-server","6740","6.02","23.82",""
"2026-06-02T14:19:59","msedgewebview2","24488","138.98","44.7",""
"2026-06-02T14:19:59","conhost","36560","1.84","1.16",""
"2026-06-02T14:19:59","conhost","38892","2.18","1.25",""
